Record ID,Company name,Type,Sector,Company Domain Name,Number of Employees,City,Country,Company owner,Create Date,Website URL,Phone Number,Last Activity Date,Country/Region,Industry,Lifecycle Stage,Street Address
1.78E+11,MR Partnership Limited,,,mrpartnership.co.uk,11,,,James Garrett,24/06/2025 10:49,https://mrpartnership.co.uk,,,,,Lead,
1.78E+11,Quentin Alder Architects,,,quentinalder.co.uk,11,,,James Garrett,24/06/2025 10:49,https://quentinalder.co.uk,,,,,Lead,
1.78E+11,hgh Consulting,,,hghconsulting.com,11,,,James Garrett,24/06/2025 10:49,https://hghconsulting.com,,,,,Lead,
1.78E+11,Stuart Forbes Associates,,,stuartforbes.com,11,,,James Garrett,24/06/2025 10:49,https://stuartforbes.com,,,,,Lead,
1.79E+11,dPb,,,dpbltd.co.uk,11,,,James Garrett,24/06/2025 10:47,https://dpbltd.co.uk,,,,,Lead,
1.79E+11,ARCHITECTONIC DESIGN LTD,,,architectonicdesign.co.uk,11,,,James Garrett,24/06/2025 10:47,https://architectonicdesign.co.uk,,,,,Lead,
1.79E+11,Jonathan Hendry Architects,,,jonathanhendryarchitects.com,11,,,James Garrett,24/06/2025 10:47,https://jonathanhendryarchitects.com,,,,,Lead,
1.79E+11,SPACE DESIGN ARCHITECTURE LIMITED,,,spacedesignarchitecture.co.uk,11,,,James Garrett,24/06/2025 10:47,https://spacedesignarchitecture.co.uk,,,,,Lead,
1.79E+11,Cube PSL,,,cubepsl.co.uk,11,,,James Garrett,24/06/2025 10:47,https://cubepsl.co.uk,,,,,Lead,
1.79E+11,Sondh Associates Ltd.,,,sondhassociates.com,11,,,James Garrett,24/06/2025 10:47,https://sondhassociates.com,,,,,Lead,
1.79E+11,Robinson Kenning & Gallagher,,,rkgpartnership.co.uk,11,,,James Garrett,24/06/2025 10:47,https://rkgpartnership.co.uk,,,,,Lead,
1.79E+11,Office For Architectural Culture Limited,,,officeforarchitecturalculture.com,11,,,James Garrett,24/06/2025 10:47,https://officeforarchitecturalculture.com,,,,,Lead,
1.79E+11,Restorative Techniques Ltd,,,restorative-products.com,11,,,James Garrett,24/06/2025 10:47,https://restorative-products.com,,,,,Lead,
1.79E+11,Johnston Cave Associates,,,johnstoncave.com,11,,,James Garrett,24/06/2025 10:47,https://johnstoncave.com,,,,,Lead,
1.79E+11,David Jarvis Associates Limited,,,davidjarvis.biz,11,,,James Garrett,24/06/2025 10:47,https://davidjarvis.biz,,,,,Lead,
1.79E+11,AVR London,,,avr.london,11,,,James Garrett,24/06/2025 10:47,https://avr.london,,,,,Lead,
1.79E+11,Moloney O'Beirne Architects,,,mob.ie,11,,,James Garrett,24/06/2025 10:47,https://mob.ie,,,,,Lead,
1.79E+11,Coe Design Landscape Architecture,,,coe-design.co.uk,11,,,James Garrett,24/06/2025 10:47,https://coe-design.co.uk,,,,,Lead,
1.79E+11,CD Architects,,,graydesignltd.co.uk,11,,,James Garrett,24/06/2025 10:47,https://graydesignltd.co.uk,,,,,Lead,
1.79E+11,SAM Group,,,samplanning.co.uk,11,,,James Garrett,24/06/2025 10:47,https://samplanning.co.uk,,,,,Lead,
1.79E+11,Yiangou Architects,,,yiangou.com,11,,,James Garrett,24/06/2025 10:47,https://yiangou.com,,,,,Lead,
1.79E+11,Maltby Land Surveys Ltd - Based in Sussex,,,maltbysurveys.com,11,,,James Garrett,24/06/2025 10:47,https://maltbysurveys.com,,,,,Lead,
